task_id,photo_id,photo_type,segment_num,segment_type,segment_value
ddcc3b63_3cb3_48b2_a9e3_f6f99758b254,1009739,УФ,0,Свечение,Карбонатное
ddcc3b63_3cb3_48b2_a9e3_f6f99758b254,1009739,УФ,1,Свечение,Насыщенное
5e4b4cc3_1042_4dbc_8424_a3f2988b6ab9,1016691,УФ,0,Свечение,Карбонатное
8b9191f7_af81_440c_9988_6a0388e30b00,1008137,УФ,0,Свечение,Карбонатное
e7095781_071b_4d76_be4f_00a02f7057e4,1001471,УФ,0,Свечение,Отсутствует
e7095781_071b_4d76_be4f_00a02f7057e4,1001471,УФ,1,Свечение,Карбонатное
67d4ac36_fb83_4fc3_bfd4_1d4c79872dba,1001123,УФ,0,Свечение,Насыщенное
e7720fff_f5ec_474f_9240_e940726560b2,1014283,УФ,0,Свечение,Насыщенное
f22828ac_fe7b_4398_a6b7_b236465b4a87,1009725,УФ,0,Свечение,Насыщенное
c4ea7f46_04f7_4494_ab3d_50dccee81870,1001567,УФ,0,Свечение,Отсутствует
0f4d7c74_625b_4a5e_8339_57f6c4e0864e,1000071,УФ,0,Свечение,Отсутствует
141ae225_e166_44c3_aa0b_767141a9c93d,1010345,УФ,0,Свечение,Отсутствует
14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,0,Свечение,Отсутствует
14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,1,Свечение,Карбонатное
14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,2,Свечение,Отсутствует
14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,3,Свечение,Карбонатное
168bee6a_60e1_457d_a018_87e4294addae,1017677,УФ,0,Свечение,Отсутствует
1d147497_ec8e_4510_9625_76a63ef69dfb,1002625,УФ,0,Свечение,Отсутствует
1d147497_ec8e_4510_9625_76a63ef69dfb,1002625,УФ,1,Свечение,Карбонатное
1d2961fe_4ec5_4ae0_9400_158b9c9e31c5,1016127,УФ,0,Свечение,Отсутствует
24d4c6b5_42ad_4bee_b54f_b99232d970cf,1006109,УФ,0,Свечение,Насыщенное
24d4c6b5_42ad_4bee_b54f_b99232d970cf,1006109,УФ,1,Свечение,Насыщенное
24d4c6b5_42ad_4bee_b54f_b99232d970cf,1006109,УФ,2,Свечение,Отсутствует
34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,0,Свечение,Насыщенное
34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,1,Свечение,Насыщенное
34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,2,Свечение,Отсутствует
34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,3,Свечение,Насыщенное
34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,4,Свечение,Отсутствует
3fec452a_4702_4ef5_bc1c_8f3ef213ca8d,1012909,УФ,0,Свечение,Насыщенное
41bf363d_6347_4c96_9b9e_268b7e14297f,1000035,УФ,0,Свечение,Отсутствует
457ac0a4_81c5_4b7d_9b85_2b021f1b34b0,1005447,УФ,0,Свечение,Отсутствует
46adcb01_4f8d_43b8_a28a_31089b3e04f3,1005443,УФ,0,Свечение,Отсутствует
4ab6aa28_989c_4b61_82f9_4df44514346e,1004805,УФ,0,Свечение,Насыщенное
4ab6aa28_989c_4b61_82f9_4df44514346e,1004805,УФ,1,Свечение,Отсутствует
4ab6aa28_989c_4b61_82f9_4df44514346e,1004805,УФ,2,Свечение,Насыщенное
4c9b724b_04a5_4eab_8274_76f342ca1190,1013485,УФ,0,Свечение,Отсутствует
4d8bc52c_ed36_4526_a640_53371eff0d85,1000027,УФ,0,Свечение,Отсутствует
5023760b_a1d6_43c5_8b66_1f5270800de8,1001945,УФ,0,Свечение,Отсутствует
5443b57e_da8f_4951_b648_2fbb0f956a52,1006997,УФ,0,Свечение,Отсутствует
5713f8b2_9f41_40cc_aaa0_4cab0babf67a,1000237,УФ,0,Свечение,Отсутствует
587770b5_777f_46c8_9a21_fae23ca9051d,1005377,УФ,0,Свечение,Отсутствует
58d484d5_8e69_4853_a54c_9d10101aec1f,1004101,УФ,0,Свечение,Отсутствует
6291c044_0799_4255_b6cc_46244a78fede,1008101,УФ,0,Свечение,Отсутствует
634747d7_cedc_46df_89a8_4067233fae2d,1005891,УФ,0,Свечение,Отсутствует
657718ee_c957_4eef_8ca2_751c8f1ee592,1002069,УФ,0,Свечение,Отсутствует
66c52215_1903_4736_9674_087abbfe797b,1013275,УФ,0,Свечение,Отсутствует
67c3c5b6_08e7_43b6_ad69_e53f1dd70b63,1012381,УФ,0,Свечение,Отсутствует
67c3c5b6_08e7_43b6_ad69_e53f1dd70b63,1012381,УФ,1,Свечение,Насыщенное
69a214ef_91a5_424e_bf97_0b5fcb6a048f,1003673,УФ,0,Свечение,Насыщенное
6ab48bfc_a153_40c7_9f03_00f72b3e6c27,1010059,УФ,0,Свечение,Отсутствует
6b717dd7_77fd_417d_8f65_07c52f96927f,1004627,УФ,0,Свечение,Отсутствует
719cef53_e2ef_4ef6_a3f4_3fe01108c9a0,1012227,УФ,0,Свечение,Отсутствует
719cef53_e2ef_4ef6_a3f4_3fe01108c9a0,1012227,УФ,1,Свечение,Насыщенное
749c47cb_6837_4f16_80b8_16cae5e09888,1007833,УФ,0,Свечение,Отсутствует
767a91fa_d3a3_4b6c_90d4_2a061052d0f8,1009873,УФ,0,Свечение,Насыщенное
77c0cabc_4a0d_469f_88cd_8126b2cb91aa,1010411,УФ,0,Свечение,Отсутствует
77d00405_da52_4f10_acb8_3ce521337966,1002429,УФ,0,Свечение,Насыщенное
79566d18_c485_43ae_ac2c_30363e5fde78,1012253,УФ,0,Свечение,Карбонатное
79566d18_c485_43ae_ac2c_30363e5fde78,1012253,УФ,1,Свечение,Отсутствует
79566d18_c485_43ae_ac2c_30363e5fde78,1012253,УФ,2,Свечение,Карбонатное
7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,0,Свечение,Отсутствует
7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,1,Свечение,Карбонатное
7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,2,Свечение,Отсутствует
7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,3,Свечение,Карбонатное
7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,4,Свечение,Отсутствует
7c94ece8_1ae7_4244_b5cd_66ff25a09e0d,1014889,УФ,5,Свечение,Отсутствует
8196ccd1_0697_49ce_88df_bb16cf3bd57a,1011625,УФ,0,Свечение,Отсутствует
88779480_df84_447d_880c_a6c55962e06e,1016627,УФ,0,Свечение,Карбонатное
88779480_df84_447d_880c_a6c55962e06e,1016627,УФ,1,Свечение,Насыщенное
891d929f_6842_40d4_96a0_bb8b5e478ee7,1014117,УФ,0,Свечение,Отсутствует
89328848_f5ee_4eed_ae44_41f2e7c31ac9,1004981,УФ,0,Свечение,Карбонатное
89328848_f5ee_4eed_ae44_41f2e7c31ac9,1004981,УФ,1,Свечение,Отсутствует
8e44c1ec_b93c_40d7_87a6_f4704052b738,1010281,УФ,0,Свечение,Отсутствует
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,0,Свечение,Отсутствует
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,1,Свечение,Насыщенное
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,2,Свечение,Отсутствует
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,3,Свечение,Насыщенное
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,4,Свечение,Отсутствует
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,5,Свечение,Насыщенное
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,6,Свечение,Отсутствует
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,7,Свечение,Насыщенное
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,8,Свечение,Отсутствует
8f673184_a2b9_4778_8a30_b4364f2eed9b,1008527,УФ,9,Свечение,Насыщенное
98512e2a_c5f3_4d6a_b4c0_55619991bcfb,1008431,УФ,0,Свечение,Насыщенное
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,0,Свечение,Отсутствует
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,1,Свечение,Насыщенное
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,2,Свечение,Отсутствует
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,3,Свечение,Насыщенное
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,4,Свечение,Отсутствует
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,5,Свечение,Насыщенное
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,6,Свечение,Отсутствует
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,7,Свечение,Насыщенное
9851d139_e926_4d30_9b8c_18f4d2af9b57,1015783,УФ,8,Свечение,Отсутствует
987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,0,Свечение,Насыщенное
987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,1,Свечение,Отсутствует
987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,2,Свечение,Насыщенное
987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,3,Свечение,Насыщенное
987c49fe_77d6_4b0d_b04c_6970b4e32c9f,1008549,УФ,4,Свечение,Отсутствует
9be52432_7ffd_4b59_9a2d_05e723a79776,1000093,УФ,0,Свечение,Отсутствует
a1040ce4_028b_475a_8361_196c9ca89931,1005525,УФ,0,Свечение,Насыщенное
a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,0,Свечение,Насыщенное
a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,1,Свечение,Насыщенное
a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,2,Свечение,Насыщенное
a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,3,Свечение,Отсутствует
a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,4,Свечение,Насыщенное
a422796d_2038_40d0_90a2_02c8967883da,1013107,УФ,5,Свечение,Отсутствует
a4a1761c_d176_4175_8684_d1a027c6edae,1012017,УФ,0,Свечение,Насыщенное
a846f5f5_aa1a_44b7_8cc9_65dfa11b58c4,1012371,УФ,0,Свечение,Насыщенное
b149f785_be5a_4729_b9c5_4ff615e55966,1004799,УФ,0,Свечение,Насыщенное
b16fe80b_1472_43e7_a030_554c46e2dfb4,1010475,УФ,0,Свечение,Отсутствует
b297d035_f3e9_490d_b841_34cac9fbad8a,1007003,УФ,0,Свечение,Отсутствует
b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,0,Свечение,Насыщенное
b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,1,Свечение,Насыщенное
b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,2,Свечение,Насыщенное
b5fe2fa9_c48d_4254_9469_97d90ae6b444,1007663,УФ,3,Свечение,Насыщенное
b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,0,Свечение,Отсутствует
b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,1,Свечение,Карбонатное
b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,2,Свечение,Отсутствует
b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,3,Свечение,Карбонатное
b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,4,Свечение,Насыщенное
b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,5,Свечение,Карбонатное
b66f59c3_702f_4920_918d_60c2b5379b1d,1017257,УФ,6,Свечение,Отсутствует
babbe64f_ac1a_486f_9c14_0b8105ccd5e1,1013437,УФ,0,Свечение,Отсутствует
c013a33a_8fae_46b1_8dcb_01c753a8f90a,1000511,УФ,0,Свечение,Отсутствует
cabf37dc_bd72_47fb_8757_a2a883dfee59,1016689,УФ,0,Свечение,Карбонатное
cabf37dc_bd72_47fb_8757_a2a883dfee59,1016689,УФ,1,Свечение,Отсутствует
cabf37dc_bd72_47fb_8757_a2a883dfee59,1016689,УФ,2,Свечение,Карбонатное
cdaa3776_836f_481b_a974_4234bbe0a249,1015957,УФ,0,Свечение,Отсутствует
cf19af77_1f11_4398_bb90_d565e52af514,1010171,УФ,0,Свечение,Отсутствует
d26f70ac_32aa_4260_ad6b_27881fa3ecb5,1004703,УФ,0,Свечение,Насыщенное
dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,0,Свечение,Карбонатное
dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,1,Свечение,Отсутствует
dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,2,Свечение,Карбонатное
dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,3,Свечение,Карбонатное
dd88c23d_b2c4_4ae9_be74_ccec0bdb43ec,1009703,УФ,4,Свечение,Карбонатное
ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,0,Свечение,Насыщенное
ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,1,Свечение,Насыщенное
ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,2,Свечение,Насыщенное
ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,3,Свечение,Насыщенное
ea1b3bde_37ac_43a0_8c25_b101baa93c6f,1004387,УФ,4,Свечение,Насыщенное
ece4a00b_5f32_4509_9b1c_7139c71c7251,1007739,УФ,0,Свечение,Насыщенное
ef065e54_d47a_43c3_a1b0_4d2bcfdad3e4,1005081,УФ,0,Свечение,Отсутствует
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,0,Свечение,Карбонатное
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,1,Свечение,Отсутствует
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,2,Свечение,Карбонатное
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,3,Свечение,Отсутствует
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,4,Свечение,Карбонатное
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,5,Свечение,Карбонатное
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,6,Свечение,Отсутствует
f0c78c07_94d4_4fd5_b63f_2b630425892f,1004893,УФ,7,Свечение,Карбонатное
f1a2db7a_d0d3_4995_b245_a7c9a6022838,1002571,УФ,0,Свечение,Насыщенное
f258a779_6a7a_44e9_94be_65dbf8568927,1002061,УФ,0,Свечение,Отсутствует
f841cde3_b194_4a85_8d62_ea796c67cc38,1007135,УФ,0,Свечение,Отсутствует
fc5a256b_d3b3_4ef9_a600_a8617e3c3144,1004467,УФ,0,Свечение,Насыщенное
fc5a256b_d3b3_4ef9_a600_a8617e3c3144,1004467,УФ,1,Свечение,Насыщенное
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,0,Свечение,Насыщенное
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,1,Свечение,Отсутствует
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,2,Свечение,Насыщенное
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,3,Свечение,Отсутствует
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,4,Свечение,Насыщенное
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,5,Свечение,Отсутствует
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,6,Свечение,Насыщенное
fcd6c1b8_d83e_4444_9fe4_3ab1f369fd62,1001465,УФ,7,Свечение,Отсутствует
ffe878ff_27d1_4dfc_a2d1_91e13e71b662,1002685,УФ,0,Свечение,Отсутствует
00f15bc0_649c_453a_b150_8e94ab8f4247,1016705,УФ,0,Свечение,Карбонатное
0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,0,Свечение,Насыщенное
0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,1,Свечение,Насыщенное
0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,2,Свечение,Насыщенное
0f50169c_1b00_4ea5_813c_c9df2ee045db,1003247,УФ,3,Свечение,Отсутствует
10979880_b4cd_4005_9851_451f2f7ee8b9,1002025,УФ,0,Свечение,Насыщенное
10979880_b4cd_4005_9851_451f2f7ee8b9,1002025,УФ,1,Свечение,Отсутствует
110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,0,Свечение,Насыщенное
110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,1,Свечение,Отсутствует
110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,2,Свечение,Насыщенное
110be108_5ebf_421a_9322_05f7217dc2b6,1009879,УФ,3,Свечение,Отсутствует
125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,0,Свечение,Карбонатное
125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,1,Свечение,Насыщенное
125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,2,Свечение,Карбонатное
125da0d3_8528_44ab_b85a_aa24f9692271,1000411,УФ,3,Свечение,Насыщенное
17ba181c_971e_44eb_8633_f50c6f602cea,1005551,УФ,0,Свечение,Насыщенное
18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,0,Свечение,Отсутствует
18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,1,Свечение,Насыщенное
18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,2,Свечение,Отсутствует
18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,3,Свечение,Отсутствует
18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,4,Свечение,Насыщенное
18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,5,Свечение,Отсутствует
18e750c6_5d86_4c2e_8717_63ad24cc1816,1014431,УФ,6,Свечение,Насыщенное
36a9ee56_ace1_42e0_b4e3_6a5a0bdda734,1013805,УФ,0,Свечение,Отсутствует
36a9ee56_ace1_42e0_b4e3_6a5a0bdda734,1013805,УФ,1,Свечение,Насыщенное
36a9ee56_ace1_42e0_b4e3_6a5a0bdda734,1013805,УФ,2,Свечение,Отсутствует
3b3b7821_a499_45df_b972_12edc3df0061,1003351,УФ,0,Свечение,Отсутствует
3b3b7821_a499_45df_b972_12edc3df0061,1003351,УФ,1,Свечение,Насыщенное
3b3b7821_a499_45df_b972_12edc3df0061,1003351,УФ,2,Свечение,Отсутствует
3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,0,Свечение,Отсутствует
3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,1,Свечение,Насыщенное
3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,2,Свечение,Отсутствует
3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,3,Свечение,Насыщенное
3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,4,Свечение,Отсутствует
3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,5,Свечение,Насыщенное
3c6ae6a9_556c_4174_bc2c_22aa2f483590,1011835,УФ,6,Свечение,Отсутствует
3cae8153_61ea_480c_9c1c_c20456c0b948,1008417,УФ,0,Свечение,Насыщенное
3d31eca9_d4e8_40f3_bbdf_eaa7c9846956,1013481,УФ,0,Свечение,Отсутствует
44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,0,Свечение,Насыщенное
44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,1,Свечение,Отсутствует
44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,2,Свечение,Насыщенное
44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,3,Свечение,Насыщенное
44617a1e_5659_4816_bca9_a66d29b1134a,1007723,УФ,4,Свечение,Насыщенное
47e2361a_775a_46e8_b22b_eda373d92871,1001631,УФ,0,Свечение,Отсутствует
4a34a3d7_b24f_418a_bb90_dc3e9640926f,1015925,УФ,0,Свечение,Отсутствует
52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,0,Свечение,Насыщенное
52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,1,Свечение,Отсутствует
52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,2,Свечение,Насыщенное
52b65ce8_6282_43e2_af43_a85f871352cb,1013135,УФ,3,Свечение,Отсутствует
58e310b2_fc5a_41ba_afb0_a6d99fecb299,1006175,УФ,0,Свечение,Насыщенное
5e7241eb_669a_40cf_80d1_3944ecb54cd6,1014627,УФ,0,Свечение,Отсутствует
6253ff95_0d10_49ea_be76_1714617f85c4,1004443,УФ,0,Свечение,Насыщенное
6253ff95_0d10_49ea_be76_1714617f85c4,1004443,УФ,1,Свечение,Отсутствует
6253ff95_0d10_49ea_be76_1714617f85c4,1004443,УФ,2,Свечение,Отсутствует
64dd13dc_4fa4_4470_a7e2_ea3848f86f5e,1003827,УФ,0,Свечение,Насыщенное
64dd13dc_4fa4_4470_a7e2_ea3848f86f5e,1003827,УФ,1,Свечение,Отсутствует
66c5f6f3_68f3_4ecd_962d_d5bcbe56d654,1011909,УФ,0,Свечение,Отсутствует
67f80c9a_85fa_4135_a154_c2d602f1c6a5,1013773,УФ,0,Свечение,Отсутствует
715733d0_696e_4614_a050_595e0f4cdb6c,1010493,УФ,0,Свечение,Отсутствует
77c66b0f_f3b5_4fb0_92df_ce979c95dc85,1011547,УФ,0,Свечение,Отсутствует
78120d32_e1e4_4069_a74f_8b1d3ee6720c,1003427,УФ,0,Свечение,Насыщенное
7873aca1_599c_4d2f_88b6_8844d72f5116,1015203,УФ,0,Свечение,Карбонатное
841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,0,Свечение,Насыщенное
841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,1,Свечение,Насыщенное
841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,2,Свечение,Насыщенное
841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,3,Свечение,Насыщенное
841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,4,Свечение,Отсутствует
841ad9d8_3205_4abb_9cc9_0f31a6c15113,1005845,УФ,5,Свечение,Насыщенное
857b82fc_b32b_4481_a48b_fb569d63a37f,1013759,УФ,0,Свечение,Отсутствует
87640e7d_d0fe_429e_a920_f74b73ef048f,1001111,УФ,0,Свечение,Насыщенное
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,0,Свечение,Отсутствует
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,1,Свечение,Насыщенное
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,2,Свечение,Отсутствует
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,3,Свечение,Насыщенное
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,4,Свечение,Отсутствует
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,5,Свечение,Насыщенное
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,6,Свечение,Отсутствует
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,7,Свечение,Насыщенное
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,8,Свечение,Отсутствует
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,9,Свечение,Насыщенное
885b0584_9baa_4f4c_b17f_4d353b280487,1015787,УФ,10,Свечение,Отсутствует
8b48b9d7_2fcf_4153_ac33_c8496bc58ef9,1013049,УФ,0,Свечение,Насыщенное
8b48b9d7_2fcf_4153_ac33_c8496bc58ef9,1013049,УФ,1,Свечение,Насыщенное
8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,0,Свечение,Карбонатное
8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,1,Свечение,Отсутствует
8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,2,Свечение,Отсутствует
8bc9735a_1f56_4b21_9dcd_8c6f6ae7c9c8,1014951,УФ,3,Свечение,Карбонатное
916a807f_19e4_4d29_95ef_cb0f895a9f93,1016393,УФ,0,Свечение,Отсутствует
995d62cc_1bff_4d86_9635_d3bb0e054dab,1012093,УФ,0,Свечение,Отсутствует
99d4bad0_a30a_46c5_a517_21fec26e0ca5,1004901,УФ,0,Свечение,Отсутствует
99d4bad0_a30a_46c5_a517_21fec26e0ca5,1004901,УФ,1,Свечение,Карбонатное
99d4bad0_a30a_46c5_a517_21fec26e0ca5,1004901,УФ,2,Свечение,Отсутствует
99d4bad0_a30a_46c5_a517_21fec26e0ca5,1004901,УФ,3,Свечение,Карбонатное
99d4bad0_a30a_46c5_a517_21fec26e0ca5,1004901,УФ,4,Свечение,Отсутствует
9cda2992_9fa6_4619_aa4f_e86c57cfd7f1,1000509,УФ,0,Свечение,Карбонатное
9cda2992_9fa6_4619_aa4f_e86c57cfd7f1,1000509,УФ,1,Свечение,Отсутствует
a62b4fe5_242e_4762_b241_aadc95517b09,1013819,УФ,0,Свечение,Насыщенное
a62b4fe5_242e_4762_b241_aadc95517b09,1013819,УФ,1,Свечение,Отсутствует
